question,answer,difficulty,topic,data_science_question
How can you use machine learning for text classification with bag of words?,Answer here,intermediate,text classification,1
Is there a way to create a new page with the same content as an existing one?,,,,0
What are the potential problems with many large trees?,"- Overfitting: A large number of large trees can lead to overfitting, where the model becomes too complex and is able to memorize the training data but doesn't generalize well to new, unseen data.

- Slow prediction time: As the number of trees in the forest increases, the prediction time for new data points can become quite slow. This can be a problem when you need to make predictions in real-time or on a large dataset.

- Memory consumption: Random Forest models with many large trees can consume a lot of memory, which can be a problem when working with large datasets or on a limited hardware.

- Lack of interpretability: Random Forest models with many large trees can be difficult to interpret, making it harder to understand how the model is making predictions or what features are most important.

- Difficulty in tuning : With an increasing number of large trees the tuning process becomes more complex and computationally expensive.

It's important to keep in mind that the number of trees in a Random Forest should be chosen based on the specific problem and dataset, rather than using a large number of trees by default. In practice, the number of trees in a random forest is chosen based on the trade-off between the computational cost and the performance.",intermediate,feature selection,1
What is the concept of regularization in linear models?,Answer here,intermediate,regularization,1
What are the advantages of time series?,Answer here,beginner,time series,1
How do you go about building a recommender system?,Answer here,intermediate,recommender systems,1
What kind of problems neural nets can solve?,"Neural nets are good at solving non-linear problems. Some good examples are problems that are relatively easy for humans (because of experience, intuition, understanding, etc), but difficult for traditional regression models: speech recognition, handwriting recognition, image identification, etc.",beginner,neural networks,1
What is the best place to go for a day trip if you want to see the sights in Paris?,,,,0
How do you use transformers for text classification?,Answer here,advanced,text classification,1
"What is the difference between linear regression and multiple linear regression, and how are they used in practice?",Answer here,beginner,supervised learning,1
"Does anyone know where I can get a copy of the first issue of ""Star Wars"" magazine?",,,,0
What is the best way to find a job?,,,,0
What is the name of the movie that was made in 1956 about a man who has to take care of his dying mother?,,,,0
What do you think is the most important aspect of a good book?,,,,0
What is the difference between text classification and text embedding?,Answer here,advanced,text classification,1
What are time series problems?,Answer here,beginner,time series,1
Why do you want to be a lawyer?,,,,0
Is there a way to get the value of a variable at a specific time?,,,,0
How we can use machine learning for text classification with bag of words features?,Answer here,intermediate,text classification,1
What is linear regression?,Answer here,beginner,supervised learning,1
How would you use word embeddings for text classification with N-grams?,Answer here,advanced,text classification,1
What is Machine Learning?,Answer here,beginner,unsupervised learning,1
"How do you feel about the use of ""the"" and ""a"" in front of a noun?",,,,0
"What happens to our linear regression model if we have three columns in our data: x, y, z — and z is a sum of x and y?","We would not be able to perform the regression. Because z is linearly dependent on x and y so when performing the regression <img src=""https://render.githubusercontent.com/render/math?math={X}^{T}{X}""> would be a singular (not invertible) matrix.",intermediate,classification,1
What is the difference between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs)?,Answer here,intermediate,neural networks,1
What are your top 5 favorite books?,,,,0
What is the difference between logistic regression and linear regression?,Answer here,beginner,classification,1
What is the most important thing you can do to improve your chances of landing a good job?,,,,0
What are the different types of time series analysis?,Answer here,beginner,time series,1
What do you think of this song?,,,,0
How can we use machine learning for recommendation system?,Answer here,beginner,recommender systems,1
What is the problem with using trees for solving time series problems?,Answer here,intermediate,time series,1
How long does it take to learn a new language?,,,,0
How does a usual fully-connected feed-forward neural network work?,"In a usual fully-connected feed-forward network, each neuron receives input from every element of the previous layer and thus the receptive field of a neuron is the entire previous layer. They are usually used to represent feature vectors for input data in classification problems but can be expensive to train because of the number of computations involved.",intermediate,neural networks,1
How do we deal with overfitting and underfitting in random forest model?,Answer here,beginner,feature selection,1
What are the main parameters of the decision tree model?,"* maximum tree depth
* minimum samples per leaf node
* impurity criterion",beginner,feature selection,1
How can we use deep learning approaches for text classification?,Answer here,advanced,text classification,1
What do you want to be when you grow up?,,,,0
How do I handle missing values in machine learning models?,Answer here,intermediate,supervised learning,1
What is your favorite thing about being a teacher?,,,,0
What is the difference between cross-validation and k-fold cross-validation?,Answer here,beginner,supervised learning,1
What is the difference between Gradient Boosting Trees and Random Forests?,Answer here,intermediate,feature selection,1
"What are the main difference between gradient boosting trees, random forest and XGBoost models?",Answer here,advanced,feature selection,1
"How do you deal with the ""I don't have time to exercise"" excuse?",,,,0
How would you explain to someone who has no background in machine learning how deep learning works?,Answer here,beginner,unsupervised learning,1
How can we use deep learning models for text classification?,Answer here,intermediate,text classification,1
What is your favorite food?,,,,0
Have you ever wondered how many people there are in the world?,,,,0
What are the different types of neural nets?,Answer here,intermediate,neural networks,1
What is a time series? When do we need it?,Answer here,beginner,time series,1
How do you know if someone is lying to you?,,,,0
is it possible for someone to have more than one child with the same father but different mothers?,,,,0
What is the difference between regression and classification?,Answer here,beginner,classification,1
If you were to describe your life in one word what would it be?,,,,0
What’s singular value decomposition? How is it typically used for machine learning?,"* Singular Value Decomposition (SVD) is a general matrix decomposition method that factors a matrix X into three matrices L (left singular values), Σ (diagonal matrix) and R^T (right singular values).
* For machine learning, Principal Component Analysis (PCA) is typically used. It is a special type of SVD where the singular values correspond to the eigenvectors and the values of the diagonal matrix are the squares of the eigenvalues. We use these features as they are statistically descriptive.
* Having calculated the eigenvectors and eigenvalues, we can use the Kaiser-Guttman criterion, a scree plot or the proportion of explained variance to determine the principal components (i.e. the final dimensionality) that are useful for dimensionality reduction.",intermediate,unsupervised learning,1
What is the concept of bias in machine learning?,Answer here,beginner,supervised learning,1
What is the difference between gradient boosting tree and XGBoost?,Answer here,advanced,feature selection,1
Can we use CNN for object detection?,Answer here,advanced,neural networks,1
How many days does it take to receive the package?,,,,0
Is there a way to create an array of objects from a JSON file?,,,,0
How do we interpret regularization parameters?,Answer here,intermediate,regularization,1
How can we do text classification with deep learning?,Answer here,advanced,text classification,1
What is time series and what are the applications of time series?,Answer here,beginner,time series,1
Do you know how to use CNNs for ranking?,Answer here,advanced,unsupervised learning,1
What is the name of the book you are reading at the moment?,,,,0
"If you were to make a list of the most dangerous animals in the world, what would be on it?how do you keep your hands from getting dirty when doing the dishes?",,,,0
What are convolutional layers?,Answer here,intermediate,neural networks,1
What are the different types of classification models?,Answer here,beginner,classification,1
What are the key components of a recommender system?,Answer here,intermediate,recommender systems,1
How do you do an online evaluation of a new ranking algorithm?,Answer here,intermediate,unsupervised learning,1
What are the most common approaches to building recommender systems?,Answer here,intermediate,recommender systems,1
What are the main parameters of the random forest model?,"- `max_depth`: Longest Path between root node and the leaf
- `min_sample_split`: The minimum number of observations needed to split a given node
- `max_leaf_nodes`: Conditions the splitting of the tree and hence, limits the growth of the trees
- `min_samples_leaf`: minimum number of samples in the leaf node
- `n_estimators`: Number of trees
- `max_sample`: Fraction of original dataset given to any individual tree in the given model
- `max_features`: Limits the maximum number of features provided to trees in random forest model",intermediate,feature selection,1
How do we find the best features to use for classification?,Answer here,beginner,classification,1
How do you predict time series?,Answer here,beginner,time series,1
What’s your favorite thing to do on a day off?,,,,0
How do you evaluate regression models?,Answer here,beginner,supervised learning,1
What is the best way to clean your car?,,,,0
What are the different types of machine learning models and how do they differ from each other?,Answer here,beginner,supervised learning,1
Do you know of anyone who has had a positive pregnancy test and then later miscarried?,,,,0
How do you deal with uncertainty in machine learning?,Answer here,beginner,unsupervised learning,1
What do you know about time series?,Answer here,beginner,time series,1
How do you like to spend your time when you’re not working?,,,,0
What is the role of machine learning in business intelligence?,Answer here,beginner,unsupervised learning,1
How can we use deep learning for ranking?,Answer here,intermediate,unsupervised learning,1
What is K-fold cross-validation? What can it tell us?,Answer here,beginner,supervised learning,1
How do we choose K in K-fold cross-validation?,Answer here,beginner,supervised learning,1
What is the difference between XGboost and LightGBM?,Answer here,advanced,feature selection,1
How can we use word embeddings for text classification?,Answer here,advanced,text classification,1
How does max pooling work? Are there other pooling techniques?,"Max pooling is a technique where the maximum value of a receptive field is passed on in the next feature map. The most commonly used receptive field is 2 x 2 with a stride of 2, which means the feature map is downsampled from N x N to N/2 x N/2. Receptive fields larger than 3 x 3 are rarely employed as too much information is lost. 

Other pooling techniques include:

* Average pooling, the output is the average value of the receptive field.
* Min pooling, the output is the minimum value of the receptive field.
* Global pooling, where the receptive field is set to be equal to the input size, this means the output is equal to a scalar and can be used to reduce the dimensionality of the feature map.",intermediate,neural networks,1
What are the types of regression models?,Answer here,beginner,supervised learning,1
How do we deal with categorical variables in the decision tree?,Answer here,intermediate,feature selection,1
Possible approaches to solving the cold start problem?,"* Content-based filtering incorporates features about items to calculate a similarity between them. In this way, we can recommend items that have a high similarity to items that a user liked already. In this way, we are not dependent on the ratings of other users for a given item anymore and solve the cold start problem for new items.
* Demographic filtering incorporates user profiles to calculate a similarity between them and solves the cold start problem for new users.",intermediate,recommender systems,1
What are the tools used for time series analysis?,Answer here,beginner,time series,1
"What is the difference between a ""non-profit"" and a ""tax-exempt"" organization?",,,,0
What’s k-fold cross-validation?,Answer here,beginner,supervised learning,1
What are the key components of unsupervised learning?,Answer here,beginner,unsupervised learning,1
What are recommender systems? What can they do?,Answer here,beginner,recommender systems,1
How do you test your models?,Answer here,beginner,supervised learning,1
“Do you have any advice for people who want to start their own business?,,,,0
What is the difference between machine learning and deep learning?,Answer here,intermediate,supervised learning,1
What regularization techniques do we have in linear models?,Answer here,intermediate,regularization,1
How many of the following can be used to determine if a person has been exposed to HIV?,,,,0
How do you know when you’re ready to take the next step in your career?,,,,0
What is the difference between CNN and RNN architectures?,Answer here,advanced,neural networks,1
10% of a number is 40. What is the number?,,,,0
How many of us have been in a situation where we’ve had to say no?,,,,0
What is the purpose of a non-mathematical definition?,,,,0
How to handle missing data in machine learning?,Answer here,beginner,supervised learning,1
what do you think are the chances that a person who has been to your college will actually show up at your wedding reception?,,,,0
What are the most common challenges of building recommender systems?,Answer here,intermediate,recommender systems,1
What is the difference between Random Forest model and Gradient Boosting model in terms of performance?,Answer here,intermediate,feature selection,1
How do you pronounce the name of your band?,,,,0
You have a series with a variable “y” and a set of features. How do you predict “y” at t+1? Which approaches would you use?,"Given the assumption that the set of features gives a meaningful causation to y, a causal forecasting approach such as linear regression or multiple nonlinear regression might be useful. In case there is a lot of data and the explainability of the results is not a high priority, we can also consider deep learning approaches.",intermediate,time series,1
"What if instead of finding the best split, we randomly select a few splits and just select the best from them. Will it work?",Answer here,advanced,feature selection,1
What do we do with categorical variables?,"Categorical variables must be encoded before they can be used as features to train a machine learning model. There are various encoding techniques, including:
- One-hot encoding
- Label encoding
- Ordinal encoding
- Target encoding",intermediate,classification,1
What are the main challenges you face in building machine learning systems?,Answer here,intermediate,recommender systems,1
What are recommender systems? How do they work?,Answer here,beginner,recommender systems,1
Does anyone know where I can find an example of how to write a script to generate the following output?,,,,0
how do you know when a problem is solved?,,,,0
How do you evaluate whether two trees are similar?,Answer here,beginner,classification,1
What are the different types of time series?,Answer here,beginner,time series,1
What is feature selection?,Answer here,beginner,feature selection,1
What is the most common cause of an amputation?,,,,0
How do you find the inverse of a matrix?,,,,0
What is precision-recall trade-off (PR)?,Answer here,intermediate,classification,1
What is the difference between XGBoost and LightGBM?,Answer here,advanced,feature selection,1
What do you think of the new 'Machete' movie?,,,,0
Why do you need to know all of this information?,,,,0
10 years ago what did you want to be when you grew up?,,,,0
What is the difference between cross-validation and hold-out?,Answer here,beginner,supervised learning,1
Do you have any advice for someone who is trying to get a better handle on their own finances?,,,,0
What is the role of machine learning in big data?,Answer here,beginner,supervised learning,1
What is normal distribution? When do we use it?,Answer here,beginner,supervised learning,1
What is the difference between a “poker face” and a “deer in the headlights” look?,,,,0
How do we interpret L1 regularization parameters?,Answer here,intermediate,regularization,1
What is learning rate? What can it tell us?,Answer here,beginner,neural networks,1
How can we use ranking algorithms for ranking search?,Answer here,advanced,unsupervised learning,1
"How do you calculate the mean, variance, standard deviation, skewness and kurtosis of a distribution?",Answer here,intermediate,unsupervised learning,1
What is your favorite color?,,,,0
What is Big Data and how does it differ from traditional data?,Answer here,intermediate,supervised learning,1
When do we need to perform feature normalization for linear models? When it’s okay not to do it?,"Feature normalization is necessary for L1 and L2 regularizations. The idea of both methods is to penalize all the features relatively equally. This can't be done effectively if every feature is scaled differently. 

Linear regression without regularization techniques can be used without feature normalization. Also, regularization can help to make the analytical solution more stable, — it adds the regularization matrix to the feature matrix before inverting it.",intermediate,regularization,1
What is model selection?,Answer here,beginner,feature selection,1
"2+4=6, why is this true?",,,,0
What is the best way to find out which of the following statements are false?,,,,0
What is the difference between time series and non-time series?,Answer here,intermediate,time series,1
What is the difference between a function and a procedure?,,,,0
What is the name of your favourite place in the world?,,,,0
What is the difference between CNN and RNN for text classification?,Answer here,advanced,text classification,1
"4-8-3
Here's a random question for you to ponder:
What is the sum of the first 4 odd numbers and the first 8 even numbers?",,,,0
How do I get to the airport?,,,,0
How do you feel about the use of the word “gay” in reference to a person’s sexual orientation?,,,,0
How do you feel about the idea of a one world government?,,,,0
How can we use neural nets for text classification?,Answer here,advanced,text classification,1
Which of the following is not a feature of schizophrenia?,,,,0
What is the ROC AUC score?,Answer here,intermediate,classification,1
What’s the effect of L2 regularization on the weights of a linear model?,"L2 regularization penalizes larger weights more severely (due to the squared penalty term), which encourages weight values to decay toward zero.",intermediate,regularization,1
What is the difference between a “differential” and a “derivative”?,,,,0
Can you please tell me how do you use word embeddings for text classification?,Answer here,advanced,text classification,1
How do you know if you have a good teacher?,,,,0
What’s your favorite thing about working at the Library?,,,,0
What do you know about time series analysis?,Answer here,beginner,time series,1
What is a time series?,A time series is a set of observations ordered in time usually collected at regular intervals.,beginner,time series,1
"What do you think of the new Netflix series ""House of Cards?",,,,0
What do you know about what regression models are?,Answer here,beginner,supervised learning,1
What is the difference between an “open” and a “closed” mind?,,,,0
How do you get to the top of a mountain?,,,,0
Is it possible for a person to be born with a congenital heart defect and survive?,,,,0
What do you think is the most important part of your job as a pastor?,,,,0
How do you deal with cold start problem in recommender system?,Answer here,intermediate,recommender systems,1
What is the difference between Random Forest and Gradient Boosting Trees models?,Answer here,intermediate,feature selection,1
How often do you use the word “we” in your writing?,,,,0
What does it mean to train a model?,Answer here,beginner,unsupervised learning,1
How do you evaluate the effectiveness of your models?,Answer here,beginner,classification,1
What is your favorite thing to do on a day off?,,,,0
How to deal with overfitting in linear models?,Answer here,intermediate,supervised learning,1
What are augmentations? Why do we need them?,"Augmentations are an artifical way of expanding the existing datasets by performing some transformations, color shifts or many other things on the data. It helps in diversifying the data and even increasing the data when there is scarcity of data for a model to train on.",beginner,neural networks,1
What is the difference between a man and a woman?,,,,0
how many times do you have to hear a song before it becomes a classic?,,,,0
"how do you feel about the idea of a ""garden"" in an apartment?",,,,0
Is there a name for this sort of thing?,,,,0
What’s linear regression?,Answer here,beginner,supervised learning,1
What do you want for Christmas?,,,,0
What are the steps involved in supervised learning?,Answer here,beginner,supervised learning,1
How would you use text classification with N-grams?,Answer here,advanced,text classification,1
How do you use XGBoost for classification?,Answer here,advanced,text classification,1
Is there a way to change the color of the title bar in Firefox?,,,,0
What do you think will be the most difficult problem to solve in the next 20 years?,,,,0
What is your favorite city to visit?,,,,0
How do you know if you’re doing something right?,,,,0
What is the name of the person who came up with the idea of having a group of people meet once a month to read a book and talk about it?,,,,0
How many times have you gone to the dentist?,,,,0
What are the current approaches to unsupervised learning?,Answer here,intermediate,unsupervised learning,1
What are some of the advantages of using time series in modeling?,Answer here,beginner,time series,1
How do you know when a story is over?,,,,0
What is ranking algorithms?,Answer here,advanced,unsupervised learning,1
Do you know what is the name of the person who gave me this idea?,,,,0
Can we use cross-validation to estimate the test error?,Answer here,beginner,supervised learning,1
What are the different types of Machine Learning models?,Answer here,beginner,supervised learning,1
How do we select the optimal number of trees in Random Forest model?,Answer here,intermediate,feature selection,1
What do you like to do in your free time?,,,,0
What is transfer learning? How does it work?,"Given a source domain D_S and learning task T_S, a target domain D_T and learning task T_T, transfer learning aims to help improve the learning of the target predictive function f_T in D_T using the knowledge in D_S and T_S, where D_S ≠ D_T,or T_S ≠ T_T. In other words, transfer learning enables to reuse knowledge coming from other domains or learning tasks.

In the context of CNNs, we can use networks that were pre-trained on popular datasets such as ImageNet. We then can use the weights of the layers that learn to represent features and combine them with a new set of layers that learns to map the feature representations to the given classes. Two popular strategies are either to freeze the layers that learn the feature representations completely, or to give them a smaller learning rate.",intermediate,neural networks,1
What are N-grams? How can we use them?,The function to tokenize into consecutive sequences of words is called n-grams. It can be used to find out N most co-occurring words (how often word X is followed by word Y) in a given sentence.,intermediate,text classification,1
What is classification? Which models would you use to solve a classification problem?,"Classification problems are problems in which our prediction space is discrete, i.e. there is a finite number of values the output variable can be. Some models which can be used to solve classification problems are: logistic regression, decision tree, random forests, multi-layer perceptron, one-vs-all, amongst others.",beginner,classification,1
15 years ago why would you want to take a picture of your dog?,,,,0
Is there a way to get the output of a program to be written to a file?,,,,0
What is an recommender system?,Answer here,beginner,recommender systems,1
How do you find the area of a parallelogram given the length of one of its sides and the angle between them?,,,,0
How do you train a neural net with backpropagation?,Answer here,beginner,neural networks,1
How many people are in your extended family?,,,,0
How do we select the number of trees in Random Forest model?,Answer here,intermediate,feature selection,1
9/10ths of the way through a novel what is the most common thing that occurs to you?,,,,0
What's the best way to get started?,,,,0
What's recommender system?,Answer here,beginner,recommender systems,1
What is the best way to make a good decision?,,,,0
Is it possible to use the same file for multiple threads?,,,,0
Are there any differences between continuous and discrete variables when it comes to feature importance of gradient boosting models?,Answer here,advanced,feature selection,1
How would you use machine learning to predict the value of a stock?,Answer here,beginner,unsupervised learning,1
Is it possible to get the same result with a simple loop like this?,,,,0
What is the difference between regression analysis and prediction?,Answer here,beginner,supervised learning,1
Is there a way to check if a variable is in a list?,,,,0
What are classification and regression problems?,Answer here,beginner,classification,1
How can we get training data for our ranking algorithms?,Answer here,intermediate,unsupervised learning,1
If you could go back in time and change one thing what would it be?,,,,0
If you could have any one of the following as a pet what would it be?,,,,0
What is the best way to get rid of a pimple?,,,,0
"What is the difference between XGBoost, LightGBM, and Gradient Boosting trees?",Answer here,advanced,feature selection,1
How can we use unsupervised learning to learn from the unlabeled data?,Answer here,beginner,unsupervised learning,1
How do we choose our K in K-fold cross-validation?,Answer here,beginner,supervised learning,1
What are the most popular machine learning techniques?,Answer here,beginner,unsupervised learning,1
what do you guys think about this game?,,,,0
What are the different types of regularization techniques in machine learning?,Answer here,intermediate,regularization,1
Is it a good idea to have a separate set of rules for each game or is it better to have one set of rules that applies to all games?,,,,0
Is it easy to parallelize training of a random forest model? How can we do it?,"Yes, R provides a simple way to parallelize training of random forests on large scale data.
It makes use of a parameter called multicombine which can be set to TRUE for parallelizing random forest computations.

```R
rf <- foreach(ntree=rep(25000, 6), .combine=randomForest::combine,
              .multicombine=TRUE, .packages='randomForest') %dopar% {
    randomForest(x, y, ntree=ntree)
}
```",intermediate,feature selection,1
What do you think of the idea of having an annual or bi-annual national holiday to honor our veterans?,,,,0
How do you solve this problem?,Answer here,beginner,classification,1
What’s the L2 regularization parameter?,Answer here,intermediate,regularization,1
Is there a way to use the current value of the field in the query?,,,,0
How L1 regularization looks like in a linear model?,"L1 regularization adds a penalty term to our cost function which is equal to the sum of modules of models coefficients multiplied by a lambda hyperparameter. For example, cost function with L1 regularization will look like: <img src=""https://render.githubusercontent.com/render/math?math=\sum_{i=0}^{N}%20(y_i%20-%20\sum_{j=0}^{M}%20x_{ij}%20*%20w_j)%2B\lambda\sum_{j=0}^{M}%20\left%20|%20w_j%20
ight%20|"">",intermediate,regularization,1
What is the difference between regression and time series?,Answer here,beginner,time series,1
What’s the regularization term in linear models?,Answer here,intermediate,regularization,1
What is the main difference between convolutional layers and fully connected layers?,Answer here,intermediate,neural networks,1
What do you think of the current crop of candidates for the Democratic nomination for President in 2020?,,,,0
How do we interpret weights in linear models?,"Without normalizing weights or variables, if you increase the corresponding predictor by one unit, the coefficient represents on average how much the output changes. By the way, this interpretation still works for logistic regression - if you increase the corresponding predictor by one unit, the weight represents the change in the log of the odds.

If the variables are normalized, we can interpret weights in linear models like the importance of this variable in the predicted result.",intermediate,regularization,1
How can you use neural nets for text classification?,Answer here,advanced,text classification,1
What are the benefits of applying machine learning?,Answer here,beginner,unsupervised learning,1
"What is the difference between a ""normal"" person and a ""supernatural"" person?",,,,0
How do we interpret regularization parameters in linear models?,Answer here,intermediate,regularization,1
How did you become interested in photography?,,,,0
what is the best way to start a new thread?,,,,0
Do you know how to use transformers for text classification?,Answer here,advanced,text classification,1
Do you know how to use XGBoost or LightGBM for text classification?,Answer here,advanced,text classification,1
What are the different types of machine learning models?,Answer here,beginner,supervised learning,1
How we can initialize the weights of a neural network?,"Proper initialization of weight matrix in neural network is very necessary.
Simply we can say there are two ways for initializations.
   1. Initializing weights with zeroes.
      Setting weights to zero makes your network no better than a linear model. It is important to note that setting biases to 0 will not create any troubles as non zero weights take care of breaking the symmetry and even if bias is 0, the values in every neuron are still different.  
   2. Initializing weights randomly.
      Assigning random values to weights is better than just 0 assignment. 
* a) If weights are initialized with very high values the term np.dot(W,X)+b becomes significantly higher and if an activation function like sigmoid() is applied, the function maps its value near to 1 where the slope of gradient changes slowly and learning takes a lot of time.
* b) If weights are initialized with low values it gets mapped to 0, where the case is the same as above. This problem is often referred to as the vanishing gradient.",intermediate,neural networks,1
How do we choose the best model for our data?,Answer here,intermediate,supervised learning,1
What are the decision trees?,"This is a type of supervised learning algorithm that is mostly used for classification problems. Surprisingly, it works for both categorical and continuous dependent variables. 

In this algorithm, we split the population into two or more homogeneous sets. This is done based on most significant attributes/ independent variables to make as distinct groups as possible.

A decision tree is a flowchart-like tree structure, where each internal node (non-leaf node) denotes a test on an attribute, each branch represents an outcome of the test, and each leaf node (or terminal node) holds a value for the target variable.

Various techniques : like Gini, Information Gain, Chi-square, entropy.",beginner,feature selection,1
What is the difference between a normal distribution and a beta distribution?,,,,0
How do you solve the following problem?,Answer here,beginner,classification,1
What’s the best way to get a large amount of people to agree on an idea?,,,,0
What’s the difference between grid search parameter tuning strategy and random search? When to use one or another?,"For specifics, refer to the above answer.",intermediate,feature selection,1
How many of you have ever been in a position where you had to decide whether or not to do something that could possibly get you in trouble?,,,,0
How do you evaluate the following regression models?,Answer here,beginner,supervised learning,1
What is the importance of machine learning in big data analytics?,Answer here,intermediate,unsupervised learning,1
How do you like the new look of this site?,,,,0
How can we apply machine learning algorithms for recommendation?,Answer here,intermediate,unsupervised learning,1
What’s the normal distribution? Why do we care about it?,"The normal distribution is a continuous probability distribution whose probability density function takes the following formula:

![formula](https://mathworld.wolfram.com/images/equations/NormalDistribution/NumberedEquation1.gif)

where μ is the mean and σ is the standard deviation of the distribution.

The normal distribution derives its importance from the **Central Limit Theorem**, which states that if we draw a large enough number of samples, their mean will follow a normal distribution regardless of the initial distribution of the sample, i.e **the distribution of the mean of the samples is normal**. It is important that each sample is independent from the other.

This is powerful because it helps us study processes whose population distribution is unknown to us.",beginner,supervised learning,1
What’s the regularization component in linear models?,Answer here,intermediate,regularization,1
Is it possible to do the same thing with a regular computer?,,,,0
what do you think is the best way to go about learning a new language?,,,,0
What are the most important aspects of building a recommender system?,Answer here,intermediate,recommender systems,1
What’s the regularization parameter in linear models?,Answer here,intermediate,regularization,1
How can we use text classification models for sentiment analysis?,Answer here,advanced,text classification,1
How can we use ranking algorithms for ranking search results?,Answer here,advanced,unsupervised learning,1
Do you believe in God?,,,,0
How do you build a large-scale recommender system?,Answer here,intermediate,recommender systems,1
Possible approaches to solving the problem of learning a good initial representation?,Answer here,intermediate,recommender systems,1
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words?,Usually logistic regression is better because bag of words creates a matrix with large number of columns. For a huge number of columns logistic regression is usually faster than gradient boosting trees.,intermediate,text classification,1
What do you think is the biggest problem facing the U.S. today?,,,,0
How would you use machine learning for text classification with n-grams?,Answer here,intermediate,text classification,1
How many people are in the US?,,,,0
What are the most important steps in feature selection?,Answer here,beginner,feature selection,1
What is the best way to get rid of a bad smell?,,,,0
What is the best way to deal with an uncooperative dog?,,,,0
How do we deal with multicollinearity in linear models?,Answer here,intermediate,regularization,1
How do you know when to stop?,,,,0
How can we use XGBoost for text classification?,Answer here,advanced,text classification,1
What are the benefits of a single decision tree compared to more complex models?,"* easy to implement
* fast training
* fast inference
* good explainability",intermediate,feature selection,1
What is the difference between linear models and logistic models?,Answer here,intermediate,classification,1
If a weight for one variable is higher than for another — can we say that this variable is more important?,"Yes - if your predictor variables are normalized.

Without normalization, the weight represents the change in the output per unit change in the predictor. If you have a predictor with a huge range and scale that is used to predict an output with a very small range - for example, using each nation's GDP to predict maternal mortality rates - your coefficient should be very small. That does not necessarily mean that this predictor variable is not important compared to the others.",intermediate,regularization,1
How long have you been doing what you are doing?,,,,0
How did you end up on this site?,,,,0
How to predict the best time series?,Answer here,beginner,time series,1
What is your favorite thing to do when you are not at work?,,,,0
What is the best way to validate your models?,Answer here,beginner,supervised learning,1
How to set the number of trees in gradient boosting trees model?,Answer here,intermediate,feature selection,1
Possible approaches to solving the problem of learning a good policy?,Answer here,intermediate,recommender systems,1
Do you know how to use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning,1
What do you think of this one?,,,,0
How did you get started in the music industry?,,,,0
How do you use XGBoost for feature selection?,Answer here,advanced,feature selection,1
What is Machine learning?,Answer here,beginner,unsupervised learning,1
What is the role of unsupervised learning in data science?,Answer here,beginner,unsupervised learning,1
How do we choose the number of features in linear models?,Answer here,intermediate,regularization,1
What is the difference between gradient boosting trees (GBTs) and XGBoost?,Answer here,advanced,feature selection,1
What is the difference between feature importance and feature ranking?,Answer here,advanced,unsupervised learning,1
How can you use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning,1
What is the difference between a “Bible” and a “New Testament”?,,,,0
What are convolutional neural nets (CNNs)?,Answer here,intermediate,neural networks,1
What is the difference between a private and a public company?,,,,0
Why is it that when you look up the definition of an adjective you don't actually get a list of adjectives with their definitions?,,,,0
What do you think is the most important thing to keep in mind as a Christian when it comes to your own spiritual growth and development?,,,,0
What is the difference between linear models and nonlinear models in terms of their representations?,Answer here,intermediate,regularization,1
"How do you know if you are a ""good"" programmer?",,,,0
What are the most common applications of machine learning?,Answer here,beginner,unsupervised learning,1
What is the confusion table?,Answer here,beginner,supervised learning,1
Do you know how to use CNN for text classification?,Answer here,advanced,text classification,1
is it possible to have a group with more than 2 members?,,,,0
"What is the difference between a ""normal"" person and a ""psychopath""?",,,,0
Do you ever get tired of the same old thing?,,,,0
How to evaluate the performance of a model?,Answer here,beginner,classification,1
How do you use XGBoost for text classification?,Answer here,advanced,text classification,1
How do you choose K in K-fold cross-validation?,Answer here,beginner,supervised learning,1
