question,answer,difficulty,topic
What are the most common approaches to building recommender systems?,Answer here,intermediate,recommender systems
What are the main parameters of the random forest model?,"- `max_depth`: Longest Path between root node and the leaf
- `min_sample_split`: The minimum number of observations needed to split a given node
- `max_leaf_nodes`: Conditions the splitting of the tree and hence, limits the growth of the trees
- `min_samples_leaf`: minimum number of samples in the leaf node
- `n_estimators`: Number of trees
- `max_sample`: Fraction of original dataset given to any individual tree in the given model
- `max_features`: Limits the maximum number of features provided to trees in random forest model",intermediate,feature selection
How do we find the best features to use for classification?,Answer here,beginner,classification
How do you predict time series?,Answer here,beginner,time series
How do you evaluate regression models?,Answer here,beginner,supervised learning
What are the different types of machine learning models and how do they differ from each other?,Answer here,beginner,supervised learning
How do you deal with uncertainty in machine learning?,Answer here,beginner,unsupervised learning
What do you know about time series?,Answer here,beginner,time series
What is the role of machine learning in business intelligence?,Answer here,beginner,unsupervised learning
How can we use deep learning for ranking?,Answer here,intermediate,unsupervised learning
What is K-fold cross-validation? What can it tell us?,Answer here,beginner,supervised learning
How do we choose K in K-fold cross-validation?,Answer here,beginner,supervised learning
What is the difference between XGboost and LightGBM?,Answer here,advanced,feature selection
How can we use word embeddings for text classification?,Answer here,advanced,text classification
How does max pooling work? Are there other pooling techniques?,"Max pooling is a technique where the maximum value of a receptive field is passed on in the next feature map. The most commonly used receptive field is 2 x 2 with a stride of 2, which means the feature map is downsampled from N x N to N/2 x N/2. Receptive fields larger than 3 x 3 are rarely employed as too much information is lost. 

Other pooling techniques include:

* Average pooling, the output is the average value of the receptive field.
* Min pooling, the output is the minimum value of the receptive field.
* Global pooling, where the receptive field is set to be equal to the input size, this means the output is equal to a scalar and can be used to reduce the dimensionality of the feature map.",intermediate,neural networks
What are the types of regression models?,Answer here,beginner,supervised learning
How do we deal with categorical variables in the decision tree?,Answer here,intermediate,feature selection
Possible approaches to solving the cold start problem?,"* Content-based filtering incorporates features about items to calculate a similarity between them. In this way, we can recommend items that have a high similarity to items that a user liked already. In this way, we are not dependent on the ratings of other users for a given item anymore and solve the cold start problem for new items.
* Demographic filtering incorporates user profiles to calculate a similarity between them and solves the cold start problem for new users.",intermediate,recommender systems
What are the tools used for time series analysis?,Answer here,beginner,time series
What’s k-fold cross-validation?,Answer here,beginner,supervised learning
What are the key components of unsupervised learning?,Answer here,beginner,unsupervised learning
What are recommender systems? What can they do?,Answer here,beginner,recommender systems
How do you test your models?,Answer here,beginner,supervised learning
What is the difference between machine learning and deep learning?,Answer here,intermediate,supervised learning
What regularization techniques do we have in linear models?,Answer here,intermediate,regularization
What is the difference between CNN and RNN architectures?,Answer here,advanced,neural networks
How to handle missing data in machine learning?,Answer here,beginner,supervised learning
What are the most common challenges of building recommender systems?,Answer here,intermediate,recommender systems
What is the difference between Random Forest model and Gradient Boosting model in terms of performance?,Answer here,intermediate,feature selection
You have a series with a variable “y” and a set of features. How do you predict “y” at t+1? Which approaches would you use?,"Given the assumption that the set of features gives a meaningful causation to y, a causal forecasting approach such as linear regression or multiple nonlinear regression might be useful. In case there is a lot of data and the explainability of the results is not a high priority, we can also consider deep learning approaches.",intermediate,time series
"What if instead of finding the best split, we randomly select a few splits and just select the best from them. Will it work?",Answer here,advanced,feature selection
What do we do with categorical variables?,"Categorical variables must be encoded before they can be used as features to train a machine learning model. There are various encoding techniques, including:
- One-hot encoding
- Label encoding
- Ordinal encoding
- Target encoding",intermediate,classification
What are the main challenges you face in building machine learning systems?,Answer here,intermediate,recommender systems
What are recommender systems? How do they work?,Answer here,beginner,recommender systems
How do you evaluate whether two trees are similar?,Answer here,beginner,classification
What are the different types of time series?,Answer here,beginner,time series
What is feature selection?,Answer here,beginner,feature selection
What is precision-recall trade-off (PR)?,Answer here,intermediate,classification
What is the difference between XGBoost and LightGBM?,Answer here,advanced,feature selection
What is the difference between cross-validation and hold-out?,Answer here,beginner,supervised learning
What is the role of machine learning in big data?,Answer here,beginner,supervised learning
What is normal distribution? When do we use it?,Answer here,beginner,supervised learning
How do we interpret L1 regularization parameters?,Answer here,intermediate,regularization
What is learning rate? What can it tell us?,Answer here,beginner,neural networks
How can we use ranking algorithms for ranking search?,Answer here,advanced,unsupervised learning
"How do you calculate the mean, variance, standard deviation, skewness and kurtosis of a distribution?",Answer here,intermediate,unsupervised learning
What is Big Data and how does it differ from traditional data?,Answer here,intermediate,supervised learning
When do we need to perform feature normalization for linear models? When it’s okay not to do it?,"Feature normalization is necessary for L1 and L2 regularizations. The idea of both methods is to penalize all the features relatively equally. This can't be done effectively if every feature is scaled differently. 

Linear regression without regularization techniques can be used without feature normalization. Also, regularization can help to make the analytical solution more stable, — it adds the regularization matrix to the feature matrix before inverting it.",intermediate,regularization
What is model selection?,Answer here,beginner,feature selection
What is the difference between time series and non-time series?,Answer here,intermediate,time series
What is the difference between CNN and RNN for text classification?,Answer here,advanced,text classification
How can we use neural nets for text classification?,Answer here,advanced,text classification
What is the ROC AUC score?,Answer here,intermediate,classification
What’s the effect of L2 regularization on the weights of a linear model?,"L2 regularization penalizes larger weights more severely (due to the squared penalty term), which encourages weight values to decay toward zero.",intermediate,regularization
Can you please tell me how do you use word embeddings for text classification?,Answer here,advanced,text classification
What do you know about time series analysis?,Answer here,beginner,time series
What is a time series?,A time series is a set of observations ordered in time usually collected at regular intervals.,beginner,time series
What do you know about what regression models are?,Answer here,beginner,supervised learning
How do you deal with cold start problem in recommender system?,Answer here,intermediate,recommender systems
What is the difference between Random Forest and Gradient Boosting Trees models?,Answer here,intermediate,feature selection
What does it mean to train a model?,Answer here,beginner,unsupervised learning
How do you evaluate the effectiveness of your models?,Answer here,beginner,classification
How to deal with overfitting in linear models?,Answer here,intermediate,supervised learning
What are augmentations? Why do we need them?,"Augmentations are an artifical way of expanding the existing datasets by performing some transformations, color shifts or many other things on the data. It helps in diversifying the data and even increasing the data when there is scarcity of data for a model to train on.",beginner,neural networks
What’s linear regression?,Answer here,beginner,supervised learning
What are the steps involved in supervised learning?,Answer here,beginner,supervised learning
How would you use text classification with N-grams?,Answer here,advanced,text classification
How do you use XGBoost for classification?,Answer here,advanced,text classification
What are the current approaches to unsupervised learning?,Answer here,intermediate,unsupervised learning
What are some of the advantages of using time series in modeling?,Answer here,beginner,time series
What is ranking algorithms?,Answer here,advanced,unsupervised learning
Can we use cross-validation to estimate the test error?,Answer here,beginner,supervised learning
What are the different types of Machine Learning models?,Answer here,beginner,supervised learning
How do we select the optimal number of trees in Random Forest model?,Answer here,intermediate,feature selection
What is transfer learning? How does it work?,"Given a source domain D_S and learning task T_S, a target domain D_T and learning task T_T, transfer learning aims to help improve the learning of the target predictive function f_T in D_T using the knowledge in D_S and T_S, where D_S ≠ D_T,or T_S ≠ T_T. In other words, transfer learning enables to reuse knowledge coming from other domains or learning tasks.

In the context of CNNs, we can use networks that were pre-trained on popular datasets such as ImageNet. We then can use the weights of the layers that learn to represent features and combine them with a new set of layers that learns to map the feature representations to the given classes. Two popular strategies are either to freeze the layers that learn the feature representations completely, or to give them a smaller learning rate.",intermediate,neural networks
What are N-grams? How can we use them?,The function to tokenize into consecutive sequences of words is called n-grams. It can be used to find out N most co-occurring words (how often word X is followed by word Y) in a given sentence.,intermediate,text classification
What is classification? Which models would you use to solve a classification problem?,"Classification problems are problems in which our prediction space is discrete, i.e. there is a finite number of values the output variable can be. Some models which can be used to solve classification problems are: logistic regression, decision tree, random forests, multi-layer perceptron, one-vs-all, amongst others.",beginner,classification
What is an recommender system?,Answer here,beginner,recommender systems
How do you train a neural net with backpropagation?,Answer here,beginner,neural networks
How do we select the number of trees in Random Forest model?,Answer here,intermediate,feature selection
What's recommender system?,Answer here,beginner,recommender systems
Are there any differences between continuous and discrete variables when it comes to feature importance of gradient boosting models?,Answer here,advanced,feature selection
How would you use machine learning to predict the value of a stock?,Answer here,beginner,unsupervised learning
What is the difference between regression analysis and prediction?,Answer here,beginner,supervised learning
What are classification and regression problems?,Answer here,beginner,classification
How can we get training data for our ranking algorithms?,Answer here,intermediate,unsupervised learning
"What is the difference between XGBoost, LightGBM, and Gradient Boosting trees?",Answer here,advanced,feature selection
How can we use unsupervised learning to learn from the unlabeled data?,Answer here,beginner,unsupervised learning
How do we choose our K in K-fold cross-validation?,Answer here,beginner,supervised learning
What are the most popular machine learning techniques?,Answer here,beginner,unsupervised learning
What are the different types of regularization techniques in machine learning?,Answer here,intermediate,regularization
Is it easy to parallelize training of a random forest model? How can we do it?,"Yes, R provides a simple way to parallelize training of random forests on large scale data.
It makes use of a parameter called multicombine which can be set to TRUE for parallelizing random forest computations.

```R
rf <- foreach(ntree=rep(25000, 6), .combine=randomForest::combine,
              .multicombine=TRUE, .packages='randomForest') %dopar% {
    randomForest(x, y, ntree=ntree)
}
```",intermediate,feature selection
How do you solve this problem?,Answer here,beginner,classification
What’s the L2 regularization parameter?,Answer here,intermediate,regularization
How L1 regularization looks like in a linear model?,"L1 regularization adds a penalty term to our cost function which is equal to the sum of modules of models coefficients multiplied by a lambda hyperparameter. For example, cost function with L1 regularization will look like: <img src=""https://render.githubusercontent.com/render/math?math=\sum_{i=0}^{N}%20(y_i%20-%20\sum_{j=0}^{M}%20x_{ij}%20*%20w_j)%2B\lambda\sum_{j=0}^{M}%20\left%20|%20w_j%20
ight%20|"">",intermediate,regularization
What is the difference between regression and time series?,Answer here,beginner,time series
What’s the regularization term in linear models?,Answer here,intermediate,regularization
What is the main difference between convolutional layers and fully connected layers?,Answer here,intermediate,neural networks
How do we interpret weights in linear models?,"Without normalizing weights or variables, if you increase the corresponding predictor by one unit, the coefficient represents on average how much the output changes. By the way, this interpretation still works for logistic regression - if you increase the corresponding predictor by one unit, the weight represents the change in the log of the odds.

If the variables are normalized, we can interpret weights in linear models like the importance of this variable in the predicted result.",intermediate,regularization
How can you use neural nets for text classification?,Answer here,advanced,text classification
What are the benefits of applying machine learning?,Answer here,beginner,unsupervised learning
How do we interpret regularization parameters in linear models?,Answer here,intermediate,regularization
Do you know how to use transformers for text classification?,Answer here,advanced,text classification
Do you know how to use XGBoost or LightGBM for text classification?,Answer here,advanced,text classification
What are the different types of machine learning models?,Answer here,beginner,supervised learning
How we can initialize the weights of a neural network?,"Proper initialization of weight matrix in neural network is very necessary.
Simply we can say there are two ways for initializations.
   1. Initializing weights with zeroes.
      Setting weights to zero makes your network no better than a linear model. It is important to note that setting biases to 0 will not create any troubles as non zero weights take care of breaking the symmetry and even if bias is 0, the values in every neuron are still different.  
   2. Initializing weights randomly.
      Assigning random values to weights is better than just 0 assignment. 
* a) If weights are initialized with very high values the term np.dot(W,X)+b becomes significantly higher and if an activation function like sigmoid() is applied, the function maps its value near to 1 where the slope of gradient changes slowly and learning takes a lot of time.
* b) If weights are initialized with low values it gets mapped to 0, where the case is the same as above. This problem is often referred to as the vanishing gradient.",intermediate,neural networks
How do we choose the best model for our data?,Answer here,intermediate,supervised learning
What are the decision trees?,"This is a type of supervised learning algorithm that is mostly used for classification problems. Surprisingly, it works for both categorical and continuous dependent variables. 

In this algorithm, we split the population into two or more homogeneous sets. This is done based on most significant attributes/ independent variables to make as distinct groups as possible.

A decision tree is a flowchart-like tree structure, where each internal node (non-leaf node) denotes a test on an attribute, each branch represents an outcome of the test, and each leaf node (or terminal node) holds a value for the target variable.

Various techniques : like Gini, Information Gain, Chi-square, entropy.",beginner,feature selection
How do you solve the following problem?,Answer here,beginner,classification
What’s the difference between grid search parameter tuning strategy and random search? When to use one or another?,"For specifics, refer to the above answer.",intermediate,feature selection
How do you evaluate the following regression models?,Answer here,beginner,supervised learning
What is the importance of machine learning in big data analytics?,Answer here,intermediate,unsupervised learning
How can we apply machine learning algorithms for recommendation?,Answer here,intermediate,unsupervised learning
What’s the normal distribution? Why do we care about it?,"The normal distribution is a continuous probability distribution whose probability density function takes the following formula:

![formula](https://mathworld.wolfram.com/images/equations/NormalDistribution/NumberedEquation1.gif)

where μ is the mean and σ is the standard deviation of the distribution.

The normal distribution derives its importance from the **Central Limit Theorem**, which states that if we draw a large enough number of samples, their mean will follow a normal distribution regardless of the initial distribution of the sample, i.e **the distribution of the mean of the samples is normal**. It is important that each sample is independent from the other.

This is powerful because it helps us study processes whose population distribution is unknown to us.",beginner,supervised learning
What’s the regularization component in linear models?,Answer here,intermediate,regularization
What are the most important aspects of building a recommender system?,Answer here,intermediate,recommender systems
What’s the regularization parameter in linear models?,Answer here,intermediate,regularization
How can we use text classification models for sentiment analysis?,Answer here,advanced,text classification
How can we use ranking algorithms for ranking search results?,Answer here,advanced,unsupervised learning
How do you build a large-scale recommender system?,Answer here,intermediate,recommender systems
Possible approaches to solving the problem of learning a good initial representation?,Answer here,intermediate,recommender systems
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words?,Usually logistic regression is better because bag of words creates a matrix with large number of columns. For a huge number of columns logistic regression is usually faster than gradient boosting trees.,intermediate,text classification
How would you use machine learning for text classification with n-grams?,Answer here,intermediate,text classification
What are the most important steps in feature selection?,Answer here,beginner,feature selection
How do we deal with multicollinearity in linear models?,Answer here,intermediate,regularization
How can we use XGBoost for text classification?,Answer here,advanced,text classification
What are the benefits of a single decision tree compared to more complex models?,"* easy to implement
* fast training
* fast inference
* good explainability",intermediate,feature selection
What is the difference between linear models and logistic models?,Answer here,intermediate,classification
If a weight for one variable is higher than for another — can we say that this variable is more important?,"Yes - if your predictor variables are normalized.

Without normalization, the weight represents the change in the output per unit change in the predictor. If you have a predictor with a huge range and scale that is used to predict an output with a very small range - for example, using each nation's GDP to predict maternal mortality rates - your coefficient should be very small. That does not necessarily mean that this predictor variable is not important compared to the others.",intermediate,regularization
How to predict the best time series?,Answer here,beginner,time series
What is the best way to validate your models?,Answer here,beginner,supervised learning
How to set the number of trees in gradient boosting trees model?,Answer here,intermediate,feature selection
Possible approaches to solving the problem of learning a good policy?,Answer here,intermediate,recommender systems
Do you know how to use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning
How do you use XGBoost for feature selection?,Answer here,advanced,feature selection
What is Machine learning?,Answer here,beginner,unsupervised learning
What is the role of unsupervised learning in data science?,Answer here,beginner,unsupervised learning
How do we choose the number of features in linear models?,Answer here,intermediate,regularization
What is the difference between gradient boosting trees (GBTs) and XGBoost?,Answer here,advanced,feature selection
What is the difference between feature importance and feature ranking?,Answer here,advanced,unsupervised learning
How can you use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning
What are convolutional neural nets (CNNs)?,Answer here,intermediate,neural networks
What is the difference between linear models and nonlinear models in terms of their representations?,Answer here,intermediate,regularization
What are the most common applications of machine learning?,Answer here,beginner,unsupervised learning
What is the confusion table?,Answer here,beginner,supervised learning
Do you know how to use CNN for text classification?,Answer here,advanced,text classification
How to evaluate the performance of a model?,Answer here,beginner,classification
How do you use XGBoost for text classification?,Answer here,advanced,text classification
How do you choose K in K-fold cross-validation?,Answer here,beginner,supervised learning
Which hyper-parameter tuning strategies (in general) do you know?,"There are several strategies for hyper-tuning but I would argue that the three most popular nowadays are the following:
* <b>Grid Search</b> is an exhaustive approach such that for each hyper-parameter, the user needs to <i>manually</i> give a list of values for the algorithm to try. After these values are selected, grid search then evaluates the algorithm using each and every combination of hyper-parameters and returns the combination that gives the optimal result (i.e. lowest MAE). Because grid search evaluates the given algorithm using all combinations, it's easy to see that this can be quite computationally expensive and can lead to sub-optimal results specifically since the user needs to specify specific values for these hyper-parameters, which is prone for error and requires domain knowledge.

* <b>Random Search</b> is similar to grid search but differs in the sense that rather than specifying which values to try for each hyper-parameter, an upper and lower bound of values for each hyper-parameter is given instead. With uniform probability, random values within these bounds are then chosen and similarly, the best combination is returned to the user. Although this seems less intuitive, no domain knowledge is necessary and theoretically much more of the parameter space can be explored.

* In a completely different framework, <b>Bayesian Optimization</b> is thought of as a more statistical way of optimization and is commonly used when using neural networks, specifically since one evaluation of a neural network can be computationally costly. In numerous research papers, this method heavily outperforms Grid Search and Random Search and is currently used on the Google Cloud Platform as well as AWS. Because an in-depth explanation requires a heavy background in bayesian statistics and gaussian processes (and maybe even some game theory), a ""simple"" explanation is that a much simpler/faster <i>acquisition function</i> intelligently chooses (using a <i>surrogate function</i> such as probability of improvement or GP-UCB) which hyper-parameter values to try on the computationally expensive, original algorithm. Using the result of the initial combination of values on the expensive/original function, the acquisition function takes the result of the expensive/original algorithm into account and uses it as its prior knowledge to again come up with another set of hyper-parameters to choose during the next iteration. This process continues either for a specified number of iterations or for a specified amount of time and similarly the combination of hyper-parameters that performs the best on the expensive/original algorithm is chosen.",intermediate,feature selection
How can we use the concept of gradient boosting trees to solve the problem of text classification?,Answer here,advanced,text classification
What is the ranking problem? Which models can you use to solve them?,Answer here,intermediate,unsupervised learning
How to choose the optimal number of trees in random forest model?,Answer here,intermediate,feature selection
What is the problem you are trying to solve?,Answer here,beginner,classification
What do we mean by supervised learning?,Answer here,beginner,unsupervised learning
What are the types of regularization techniques in linear models?,Answer here,intermediate,regularization
What is the difference between time series and multivariate time series?,Answer here,intermediate,time series
How would you solve the following problem?,Answer here,beginner,classification
How do we choose the number of trees in random forest model?,Answer here,intermediate,feature selection
How do you choose the right machine learning algorithm for your problem?,Answer here,intermediate,unsupervised learning
When do we need random forest?,Answer here,beginner,feature selection
Why do we need feature selection?,Answer here,beginner,feature selection
What do we mean by gradient descent?,Answer here,intermediate,unsupervised learning
Can we apply logistic regression to linear models?,Answer here,beginner,classification
How do you evaluate the performance of a neural net?,Answer here,beginner,neural networks
What are the key steps in building a recommender system?,Answer here,intermediate,recommender systems
What is the difference between Random Forest and Gradient Boosting models?,Answer here,intermediate,feature selection
"If we have a series with a variable “y” and a set of features, how we can predict “y” at t+1?",Answer here,intermediate,time series
How can we improve the performance of gradient boosting trees (GBTs) for text classification?,Answer here,advanced,text classification
What are the different types of models used in machine learning?,Answer here,beginner,supervised learning
What is the precision-recall trade-off?,Answer here,intermediate,classification
"If you have a series with only one variable “y” measured at time t, and a set of features at time t-1 and t-2, how to predict “y” at time t+1?",Answer here,intermediate,time series
Why do we need to use convolutional layers?,Answer here,intermediate,neural networks
What are the main parameters in the gradient boosting model?,"There are many parameters, but below are a few key defaults.
* learning_rate=0.1 (shrinkage).
* n_estimators=100 (number of trees).
* max_depth=3.
* min_samples_split=2.
* min_samples_leaf=1.
* subsample=1.0.",intermediate,feature selection
How do you improve the performance of XGBoost models?,Answer here,advanced,feature selection
What is the role of feature importance in XGBoost?,Answer here,advanced,feature selection
How do we deal with the overfitting problem in linear models?,Answer here,intermediate,supervised learning
What is the best way to get good feature selection?,Answer here,beginner,feature selection
How do we select the best feature importance measures?,Answer here,intermediate,feature selection
How we can use neural nets for computer vision?,Neural nets used in the area of computer vision are generally Convolutional Neural Networks(CNN's). You can learn about convolutions below. It appears that convolutions are quite powerful when it comes to working with images and videos due to their ability to extract and learn complex features. Thus CNN's are a go-to method for any problem in computer vision.,intermediate,neural networks
How can we use the pre-trained word embeddings to predict the class labels?,Answer here,advanced,text classification
How do you evaluate how well your models perform?,Answer here,intermediate,regularization
What is the difference between time series and non time series?,Answer here,intermediate,time series
What is time series and what are its types?,Answer here,beginner,time series
